code	root	parents	filename	title
yad	pbya	pbya	ALL_Ethnologue15/10205.xml	Peba-Yaguan: Ethnologue 2005
yme	pbya	pbya	ALL_Ethnologue15/10205.xml	Peba-Yaguan: Ethnologue 2005
amt	amto	amto	ALL_Ethnologue15/10206.xml	Amto-Musan: Ethnologue 2005
mmp	amto	amto	ALL_Ethnologue15/10206.xml	Amto-Musan: Ethnologue 2005
byl	baya	baya	ALL_Ethnologue15/10210.xml	Bayono-Awbono: Ethnologue 2005
awh	baya	baya	ALL_Ethnologue15/10210.xml	Bayono-Awbono: Ethnologue 2005
mnx	ebir	ebir	ALL_Ethnologue15/10211.xml	East Bird's Head: Ethnologue 2005
mtj	ebir	meax	ALL_Ethnologue15/10211.xml	East Bird's Head: Ethnologue 2005
mej	ebir	meax	ALL_Ethnologue15/10211.xml	East Bird's Head: Ethnologue 2005
bio	kwba	baib	ALL_Ethnologue15/10214.xml	Kwomtari-Baibai: Ethnologue 2005
bbf	kwba	baib	ALL_Ethnologue15/10214.xml	Kwomtari-Baibai: Ethnologue 2005
pby	kwba	pyuu	ALL_Ethnologue15/10214.xml	Kwomtari-Baibai: Ethnologue 2005
kwo	kwba	kwom	ALL_Ethnologue15/10214.xml	Kwomtari-Baibai: Ethnologue 2005
grx	kwba	kwom	ALL_Ethnologue15/10214.xml	Kwomtari-Baibai: Ethnologue 2005
fqs	kwba	kwom	ALL_Ethnologue15/10214.xml	Kwomtari-Baibai: Ethnologue 2005
owi	lema	lema	ALL_Ethnologue15/10215.xml	Left May: Ethnologue 2005
bpw	lema	lema	ALL_Ethnologue15/10215.xml	Left May: Ethnologue 2005
amm	lema	lema	ALL_Ethnologue15/10215.xml	Left May: Ethnologue 2005
nax	lema	lema	ALL_Ethnologue15/10215.xml	Left May: Ethnologue 2005
itr	lema	lema	ALL_Ethnologue15/10215.xml	Left May: Ethnologue 2005
niw	lema	lema	ALL_Ethnologue15/10215.xml	Left May: Ethnologue 2005
miq	misu	misu	ALL_Ethnologue15/10217.xml	Misumalpan: Ethnologue 2005
sum	misu	misu	ALL_Ethnologue15/10217.xml	Misumalpan: Ethnologue 2005
mtn	misu	misu	ALL_Ethnologue15/10217.xml	Misumalpan: Ethnologue 2005
ccr	misu	misu	ALL_Ethnologue15/10217.xml	Misumalpan: Ethnologue 2005
mco	mizo	emix	ALL_Ethnologue15/10218.xml	Mixe-Zoque: Ethnologue 2005
zoc	mizo	chzq	ALL_Ethnologue15/10218.xml	Mixe-Zoque: Ethnologue 2005
zoq	mizo	vczq	ALL_Ethnologue15/10218.xml	Mixe-Zoque: Ethnologue 2005
zoh	mizo	oazq	ALL_Ethnologue15/10218.xml	Mixe-Zoque: Ethnologue 2005
pos	mizo	vmix	ALL_Ethnologue15/10218.xml	Mixe-Zoque: Ethnologue 2005
mxp	mizo	wmix	ALL_Ethnologue15/10218.xml	Mixe-Zoque: Ethnologue 2005
mxq	mizo	emix	ALL_Ethnologue15/10218.xml	Mixe-Zoque: Ethnologue 2005
poq	mizo	vczq	ALL_Ethnologue15/10218.xml	Mixe-Zoque: Ethnologue 2005
plo	mizo	vmix	ALL_Ethnologue15/10218.xml	Mixe-Zoque: Ethnologue 2005
zor	mizo	chzq	ALL_Ethnologue15/10218.xml	Mixe-Zoque: Ethnologue 2005
zos	mizo	chzq	ALL_Ethnologue15/10218.xml	Mixe-Zoque: Ethnologue 2005
mto	mizo	wmix	ALL_Ethnologue15/10218.xml	Mixe-Zoque: Ethnologue 2005
pxm	mizo	emix	ALL_Ethnologue15/10218.xml	Mixe-Zoque: Ethnologue 2005
poi	mizo	vczq	ALL_Ethnologue15/10218.xml	Mixe-Zoque: Ethnologue 2005
mzl	mizo	emix	ALL_Ethnologue15/10218.xml	Mixe-Zoque: Ethnologue 2005
mir	mizo	emix	ALL_Ethnologue15/10218.xml	Mixe-Zoque: Ethnologue 2005
neq	mizo	emix	ALL_Ethnologue15/10218.xml	Mixe-Zoque: Ethnologue 2005
myp	mura	mura	ALL_Ethnologue15/10219.xml	Mura: Ethnologue 2005
